condition,label,rows,primary_accuracy,final_accuracy,gain_pp,gain_ci_low_pp,gain_ci_high_pp,primary_drop_from_clean_pp,final_drop_from_clean_pp,changed_rate,rescue_rate,harm_rate,conditional_utility
cfo_m001,CFO -0.001,260000,0.7105923076923077,0.7325923076923077,2.199999999999991,2.0888365384615386,2.311153846153846,6.838461538461537,6.743076923076929,0.13901538461538462,0.05456923076923077,0.03256923076923077,0.15825586542718018
cfo_m003,CFO -0.003,260000,0.6098961538461538,0.6929423076923077,8.304615384615389,8.178461538461539,8.433076923076923,16.90807692307693,10.708076923076925,0.20737692307692307,0.11465769230769231,0.03161153846153846,0.400459957713565
cfo_p001,CFO +0.001,260000,0.7088038461538462,0.7313115384615385,2.250769230769234,2.1392307692307693,2.3626923076923076,7.0173076923076945,6.8711538461538435,0.14059615384615384,0.0556,0.03309230769230769,0.16008753932430583
cfo_p003,CFO +0.003,260000,0.6110192307692308,0.6939307692307692,8.291153846153843,8.161923076923078,8.419230769230769,16.79576923076923,10.60923076923077,0.21026153846153847,0.11572307692307693,0.03281153846153846,0.3943257481524841
clean,Clean,260000,0.7789769230769231,0.800023076923077,2.1046153846153826,2.01,2.2011538461538462,0.0,0.0,0.10398846153846154,0.04186923076923077,0.020823076923076923,0.20238931834153198
iq_mild_neg,IQ -0.5 dB / -3 deg,260000,0.7743692307692308,0.7967,2.2330769230769154,2.1342307692307694,2.3276923076923075,0.46076923076923126,0.3323076923076984,0.10548461538461539,0.04319230769230769,0.020861538461538463,0.2116969299205134
iq_mild_pos,IQ +0.5 dB / +3 deg,260000,0.7734461538461539,0.7951884615384616,2.174230769230767,2.0784615384615384,2.269230769230769,0.5530769230769228,0.48346153846153817,0.10498076923076922,0.04248076923076923,0.02073846153846154,0.207107528851438
iq_severe_neg,IQ -1.0 dB / -5 deg,260000,0.7567076923076923,0.7781923076923077,2.1484615384615435,2.0519134615384615,2.245778846153846,2.226923076923082,2.183076923076921,0.11152692307692308,0.044296153846153846,0.022811538461538463,0.19264061799496499
iq_severe_pos,IQ +1.0 dB / +5 deg,260000,0.7493692307692308,0.7680461538461538,1.8676923076923035,1.768076923076923,1.9642307692307692,2.9607692307692335,3.1976923076923125,0.11209615384615385,0.04226153846153846,0.023584615384615384,0.1666151998627552
rayleigh_3tap,"Synthetic Rayleigh, 3 tap",260000,0.44518846153846153,0.4660653846153846,2.087692307692307,1.988076923076923,2.1884615384615387,33.37884615384616,33.39576923076923,0.21571923076923077,0.04734615384615384,0.02646923076923077,0.09677821955176778
rician_k6_3tap,"Synthetic Rician K=6 dB, 3 tap",260000,0.5952076923076923,0.6225153846153846,2.7307692307692255,2.625769230769231,2.834625,18.37692307692308,17.750769230769237,0.16196923076923078,0.05179230769230769,0.024484615384615386,0.16859802431610943
